2015 OSAP Repayment Assistance Participation Rates by Program,,,,,
Ontario Colleges of Applied Arts and Technology,,,,,
INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2012-13 (1),# of 12-13 Borrowers who received Repayment Assistance (2),2015 Repayment Assistance Participation Rate (3),
CENTENNIAL COLLEGE,Energy Systems Engineering Technician,6,2,33.3%,
CENTENNIAL COLLEGE,Energy Systems Engineering Technology,15,6,40.0%,
CENTENNIAL COLLEGE,Environmental Technician,*,*,*,
CENTENNIAL COLLEGE,Environmental Technology,16,6,37.5%,
CENTENNIAL COLLEGE,Esthetician,18,11,61.1%,
CENTENNIAL COLLEGE,Event Management,*,*,*,
CENTENNIAL COLLEGE,Financial Services,26,15,57.7%,
CENTENNIAL COLLEGE,Fine Arts And Crafts,8,7,87.5%,
CENTENNIAL COLLEGE,Fitness And Health Promotion,*,*,*,
CENTENNIAL COLLEGE,Food And Beverage Management,7,1,14.3%,
CENTENNIAL COLLEGE,Food And Beverage Service,*,*,*,
CENTENNIAL COLLEGE,Food And Nutrition Management,42,17,40.5%,
CENTENNIAL COLLEGE,Food Safety,*,*,*,
CENTENNIAL COLLEGE,Food Service Worker,17,9,52.9%,
CENTENNIAL COLLEGE,Game Design And Development,5,1,20.0%,
CENTENNIAL COLLEGE,General Arts And Science,106,51,48.1%,
CENTENNIAL COLLEGE,Graphic Design,15,9,60.0%,
CENTENNIAL COLLEGE,Health Informatics Technology,5,4,80.0%,
CENTENNIAL COLLEGE,Healthcare Environmental Services Management,*,*,*,
CENTENNIAL COLLEGE,"Heating, Refrigeration And Air Conditioning Technician",13,6,46.2%,
CENTENNIAL COLLEGE,Heavy Duty Equipment Technician Co-Op,14,2,14.3%,
CENTENNIAL COLLEGE,Hospitality And Tourism,5,3,60.0%,
CENTENNIAL COLLEGE,Hospitality And Tourism Administration,19,8,42.1%,
CENTENNIAL COLLEGE,Hospitality Foundations,*,*,*,
CENTENNIAL COLLEGE,Hospitality Management,48,18,37.5%,
CENTENNIAL COLLEGE,"Hotel, Resort and Restaurant Management",5,3,60.0%,
