2014 OSAP Repayment Assistance Participation Rates by Program,,,,,
Ontario Colleges of Applied Arts and Technology,,,,,
INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2011-12 (1),# of 11-12 Borrowers who received Repayment Assistance (2),2014 Repayment Assistance Participation Rate (3),
CANADORE COLLEGE,Manufacturing Techniques - Wood Products,*,*,*,
CANADORE COLLEGE,Mechanical Technician - Machinist,7,2,28.6%,
CANADORE COLLEGE,Mechanical Technician - Welder-Fitter,9,3,33.3%,
CANADORE COLLEGE,Mechanical Techniques - Plumbing,9,2,22.2%,
CANADORE COLLEGE,Mental Health And Addition Worker,39,18,46.2%,
CANADORE COLLEGE,Mobile Application Development,*,*,*,
CANADORE COLLEGE,Motive Power Technician,12,0,0.0%,
CANADORE COLLEGE,Motive Power Technician - Marine And Small Powered Equipment,*,*,*,
CANADORE COLLEGE,Motorcycle Repair Techniques,*,*,*,
CANADORE COLLEGE,Office Administration,23,12,52.2%,
CANADORE COLLEGE,Office Administration - General,*,*,*,
CANADORE COLLEGE,Personal Support Worker,24,8,33.3%,
CANADORE COLLEGE,Police Foundations,32,4,12.5%,
CANADORE COLLEGE,Practical Nursing,32,5,15.6%,
CANADORE COLLEGE,Recreation And Leisure Services,11,1,9.1%,
CANADORE COLLEGE,Recreation And Leisure Services Administration,*,*,*,
CANADORE COLLEGE,Recreation Therapist Assistant,*,*,*,
CANADORE COLLEGE,Recreation Therapy,21,9,42.9%,
CANADORE COLLEGE,Renovation Techniques - Construction Carpentry,*,*,*,
CANADORE COLLEGE,Respiratory Therapy,15,3,20.0%,
CANADORE COLLEGE,Small Business Management,8,3,37.5%,
CANADORE COLLEGE,Social Service Worker,28,10,35.7%,
CANADORE COLLEGE,Strength And Sport Conditioning,11,5,45.5%,
CANADORE COLLEGE,Theatre Arts,12,7,58.3%,
CANADORE COLLEGE Total,,657,210,32.0%,
,, , , ,
CENTENNIAL COLLEGE,Accounting Clerk - Microcomputer,10,9,90.0%,
CENTENNIAL COLLEGE,Advertising - Account Management,11,5,45.5%,
CENTENNIAL COLLEGE,Advertising - Creative,12,6,50.0%,
CENTENNIAL COLLEGE,Advertising Media Management,6,3,50.0%,
CENTENNIAL COLLEGE,Architectural Technician,6,3,50.0%,
CENTENNIAL COLLEGE,Architectural Technology,34,9,26.5%,
CENTENNIAL COLLEGE,Art And Design Foundation Studies,17,5,29.4%,
