"","Ref_Date","GEO","SCHOOL","REVENUE","FUND","revenueAmount"
"88836","2003/2004","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",786286
"88837","2004/2005","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",846448
"88838","2005/2006","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",900770
"88839","2006/2007","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",943145
"88840","2007/2008","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",936466
"88841","2008/2009","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",1021373
"88842","2009/2010","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",1112141
"88843","2010/2011","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",1221594
"88844","2011/2012","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",1165786
"88845","2012/2013","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",1262715
"88846","2013/2014","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",1366483
"88847","2014/2015","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",1370855
"88848","2015/2016","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",1262120
"90449","2000/2001","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",99782
"90450","2001/2002","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",114654
"90451","2002/2003","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",124344
"90452","2003/2004","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",135849
"90453","2004/2005","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",141266
"90454","2005/2006","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",142168
"90455","2006/2007","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",143930
"90456","2007/2008","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",142346
"90457","2008/2009","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",143135
"90458","2009/2010","Saskatchewan","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",161948
