"","Ref_Date","GEO","SCHOOL","EXPENDITURE","FUNDFUNCTION","expenditureAmount"
"62285","2012/2013","New Brunswick","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",348837
"62286","2013/2014","New Brunswick","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",353817
"62287","2014/2015","New Brunswick","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",370405
"62288","2015/2016","New Brunswick","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",373370
"77521","2000/2001","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",3484910
"77522","2001/2002","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",3882127
"77523","2002/2003","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",4520418
"77524","2003/2004","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",4932011
"77525","2004/2005","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",5192964
"77526","2005/2006","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",5200883
"77527","2006/2007","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",5415071
"77528","2007/2008","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",5723795
"77529","2008/2009","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",6012980
"77530","2009/2010","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",5999429
"77531","2010/2011","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",5954679
"77532","2011/2012","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",6551811
"77533","2012/2013","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",6495572
"77534","2013/2014","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",6609337
"77535","2014/2015","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",6698880
"77536","2015/2016","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",6732858
"77777","2000/2001","Quebec","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",2045622
"77778","2001/2002","Quebec","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",2188735
"77779","2002/2003","Quebec","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",2441735
"77780","2003/2004","Quebec","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",2631385
"77781","2004/2005","Quebec","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",2781366
"77782","2005/2006","Quebec","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",2892191
"77783","2006/2007","Quebec","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",3008157
"77784","2007/2008","Quebec","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",3156061
"77785","2008/2009","Quebec","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",3264078
"77786","2009/2010","Quebec","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",3488344
"77787","2010/2011","Quebec","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",3323606
"77788","2011/2012","Quebec","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",3698310
"77789","2012/2013","Quebec","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",3863840
"77790","2013/2014","Quebec","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",3993632
"77791","2014/2015","Quebec","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",4163768
"77792","2015/2016","Quebec","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",4194771
"93025","2000/2001","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",5822505
"93026","2001/2002","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",6549111
"93027","2002/2003","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",7240320
"93028","2003/2004","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",8204272
"93029","2004/2005","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",8777076
"93030","2005/2006","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",9353877
"93031","2006/2007","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",9763728
"93032","2007/2008","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",10632239
"93033","2008/2009","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",11167608
"93034","2009/2010","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",11505391
"93035","2010/2011","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",12157380
"93036","2011/2012","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",12713669
"93037","2012/2013","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",12992587
"93038","2013/2014","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",13443002
"93039","2014/2015","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",13506699
"93040","2015/2016","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",13967827
"93281","2000/2001","Ontario","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",3263962
"93282","2001/2002","Ontario","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",3497344
"93283","2002/2003","Ontario","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",3840043
"93284","2003/2004","Ontario","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",4253489
"93285","2004/2005","Ontario","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",4765217
"93286","2005/2006","Ontario","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",5100130
"93287","2006/2007","Ontario","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",5562237
"93288","2007/2008","Ontario","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",6019309
"93289","2008/2009","Ontario","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",6341130
"93290","2009/2010","Ontario","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",6549768
"93291","2010/2011","Ontario","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",6907816
"93292","2011/2012","Ontario","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",7408328
"93293","2012/2013","Ontario","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",7610112
"93294","2013/2014","Ontario","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",8018936
"93295","2014/2015","Ontario","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",8045818
"93296","2015/2016","Ontario","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",8303564
"108529","2000/2001","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",541197
"108530","2001/2002","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",596347
"108531","2002/2003","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",654436
"108532","2003/2004","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",694327
"108533","2004/2005","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",740053
"108534","2005/2006","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",805240
"108535","2006/2007","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",790835
"108536","2007/2008","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",877463
"108537","2008/2009","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",904432
"108538","2009/2010","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",945749
"108539","2010/2011","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1042740
"108540","2011/2012","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1036149
"108541","2012/2013","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1059689
"108542","2013/2014","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1111433
"108543","2014/2015","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1121170
"108544","2015/2016","Manitoba","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1102766
"108785","2000/2001","Manitoba","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",324060
"108786","2001/2002","Manitoba","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",348166
"108787","2002/2003","Manitoba","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",371171
